0.00.359.688 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.524.713 W srv  llama_server: -----------------
0.00.524.716 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.524.716 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.524.716 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.524.716 W srv  llama_server: -----------------
0.00.525.977 I srv    load_model: loading model '/data/linux-fast/models/DeepSeek-V4-Flash-0731/DeepSeek-V4-Flash-0731-HERETIC-v2-REAP132-noMTP-IQ3XXS-Q2KSexp-IQ4XSbb.gguf'
0.18.824.434 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.18.827.663 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.827.697 I srv  llama_server: model loaded
0.18.827.704 I srv  llama_server: listening on http://127.0.0.1:8000
0.59.415.213 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.59.415.245 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.59.789.192 I slot print_timing: id  0 | task 0 | prompt eval time =     109.97 ms /     5 tokens (   21.99 ms per token,    45.47 tokens per second)
0.59.789.196 I slot print_timing: id  0 | task 0 |        eval time =     263.95 ms /    16 tokens (   16.50 ms per token,    60.62 tokens per second)
0.59.789.196 I slot print_timing: id  0 | task 0 |       total time =     373.93 ms /    21 tokens
0.59.789.200 I slot print_timing: id  0 | task 0 |    graphs reused =         15
0.59.789.226 I slot      release: id  0 | task 0 | stop processing: n_tokens = 20, truncated = 0
0.59.791.562 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7196061955
0.59.801.800 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
1.00.378.153 I slot print_timing: id  0 | task 18 | prompt eval time =      71.99 ms /    10 tokens (    7.20 ms per token,   138.92 tokens per second)
1.00.378.157 I slot print_timing: id  0 | task 18 |        eval time =     504.35 ms /    32 tokens (   15.76 ms per token,    63.45 tokens per second)
1.00.378.158 I slot print_timing: id  0 | task 18 |       total time =     576.34 ms /    42 tokens
1.00.378.159 I slot print_timing: id  0 | task 18 |    graphs reused =         45
1.00.378.173 I slot      release: id  0 | task 18 | stop processing: n_tokens = 41, truncated = 0
1.00.381.202 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.154 (> 0.100 thold), f_keep = 0.049
1.00.394.824 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
1.01.958.952 I slot print_timing: id  0 | task 52 | prompt eval time =      63.59 ms /    12 tokens (    5.30 ms per token,   188.69 tokens per second)
1.01.958.957 I slot print_timing: id  0 | task 52 |        eval time =    1500.52 ms /    96 tokens (   15.63 ms per token,    63.98 tokens per second)
1.01.958.957 I slot print_timing: id  0 | task 52 |       total time =    1564.11 ms /   108 tokens
1.01.958.958 I slot print_timing: id  0 | task 52 |    graphs reused =        139
1.01.958.972 I slot      release: id  0 | task 52 | stop processing: n_tokens = 108, truncated = 0
1.01.961.567 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7198231701
1.01.981.174 I slot launch_slot_: id  0 | task 150 | processing task, is_child = 0
1.03.083.026 I slot print_timing: id  0 | task 150 | prompt eval time =     104.91 ms /    43 tokens (    2.44 ms per token,   409.88 tokens per second)
1.03.083.029 I slot print_timing: id  0 | task 150 |        eval time =     996.93 ms /    64 tokens (   15.58 ms per token,    64.20 tokens per second)
1.03.083.030 I slot print_timing: id  0 | task 150 |       total time =    1101.84 ms /   107 tokens
1.03.083.030 I slot print_timing: id  0 | task 150 |    graphs reused =        201
1.03.083.050 I slot      release: id  0 | task 150 | stop processing: n_tokens = 107, truncated = 0
1.03.084.776 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7199355779
1.03.104.779 I slot launch_slot_: id  0 | task 216 | processing task, is_child = 0
1.04.666.757 I slot print_timing: id  0 | task 216 | prompt eval time =      63.84 ms /    14 tokens (    4.56 ms per token,   219.31 tokens per second)
1.04.666.761 I slot print_timing: id  0 | task 216 |        eval time =    1498.13 ms /    96 tokens (   15.61 ms per token,    64.08 tokens per second)
1.04.666.762 I slot print_timing: id  0 | task 216 |       total time =    1561.97 ms /   110 tokens
1.04.666.762 I slot print_timing: id  0 | task 216 |    graphs reused =        295
1.04.666.779 I slot      release: id  0 | task 216 | stop processing: n_tokens = 110, truncated = 0
2.12.597.340 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7200939508
2.12.618.458 I slot launch_slot_: id  0 | task 314 | processing task, is_child = 0
2.15.717.525 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   3584, progress = 0.11, t =   3.10 s / 1156.48 tokens per second
2.16.102.602 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   4096, progress = 0.13, t =   3.48 s / 1175.62 tokens per second
2.16.526.111 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   4608, progress = 0.14, t =   3.91 s / 1179.23 tokens per second
2.16.907.376 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   5120, progress = 0.16, t =   4.29 s / 1193.78 tokens per second
2.17.338.947 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   5632, progress = 0.17, t =   4.72 s / 1193.10 tokens per second
2.17.725.268 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   6144, progress = 0.19, t =   5.11 s / 1203.10 tokens per second
2.18.156.119 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   6656, progress = 0.20, t =   5.54 s / 1201.95 tokens per second
2.18.547.862 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   7168, progress = 0.22, t =   5.93 s / 1208.89 tokens per second
2.18.983.830 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   7680, progress = 0.23, t =   6.37 s / 1206.53 tokens per second
2.19.379.557 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   8192, progress = 0.25, t =   6.76 s / 1211.64 tokens per second
2.19.828.669 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   8704, progress = 0.27, t =   7.21 s / 1207.18 tokens per second
2.20.240.095 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   9216, progress = 0.28, t =   7.62 s / 1209.19 tokens per second
2.20.691.932 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =   9728, progress = 0.30, t =   8.07 s / 1204.94 tokens per second
2.21.107.798 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  10240, progress = 0.31, t =   8.49 s / 1206.22 tokens per second
2.21.566.018 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  10752, progress = 0.33, t =   8.95 s / 1201.67 tokens per second
2.21.987.135 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  11264, progress = 0.34, t =   9.37 s / 1202.31 tokens per second
2.22.444.919 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  11776, progress = 0.36, t =   9.83 s / 1198.40 tokens per second
2.22.867.468 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  12288, progress = 0.38, t =  10.25 s / 1198.95 tokens per second
2.23.325.645 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  12800, progress = 0.39, t =  10.71 s / 1195.46 tokens per second
2.23.751.213 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  13312, progress = 0.41, t =  11.13 s / 1195.75 tokens per second
2.24.214.584 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  13824, progress = 0.42, t =  11.60 s / 1192.12 tokens per second
2.24.646.358 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  14336, progress = 0.44, t =  12.03 s / 1191.90 tokens per second
2.25.115.996 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  14848, progress = 0.45, t =  12.50 s / 1188.08 tokens per second
2.25.552.757 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  15360, progress = 0.47, t =  12.93 s / 1187.54 tokens per second
2.26.027.337 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  15872, progress = 0.48, t =  13.41 s / 1183.69 tokens per second
2.26.470.339 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  16384, progress = 0.50, t =  13.85 s / 1182.80 tokens per second
2.26.958.975 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  16896, progress = 0.52, t =  14.34 s / 1178.20 tokens per second
2.27.404.350 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  17408, progress = 0.53, t =  14.79 s / 1177.34 tokens per second
2.27.895.214 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  17920, progress = 0.55, t =  15.28 s / 1173.03 tokens per second
2.28.349.001 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  18432, progress = 0.56, t =  15.73 s / 1171.73 tokens per second
2.28.837.607 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  18944, progress = 0.58, t =  16.22 s / 1168.00 tokens per second
2.29.290.811 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  19456, progress = 0.59, t =  16.67 s / 1166.96 tokens per second
2.29.783.220 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  19968, progress = 0.61, t =  17.16 s / 1163.31 tokens per second
2.30.239.918 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  20480, progress = 0.63, t =  17.62 s / 1162.22 tokens per second
2.30.734.421 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  20992, progress = 0.64, t =  18.12 s / 1158.76 tokens per second
2.31.194.324 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  21504, progress = 0.66, t =  18.58 s / 1157.63 tokens per second
2.31.696.559 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  22016, progress = 0.67, t =  19.08 s / 1153.99 tokens per second
2.32.160.929 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  22528, progress = 0.69, t =  19.54 s / 1152.77 tokens per second
2.32.664.958 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  23040, progress = 0.70, t =  20.05 s / 1149.33 tokens per second
2.33.133.680 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  23552, progress = 0.72, t =  20.52 s / 1148.03 tokens per second
2.33.646.953 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  24064, progress = 0.73, t =  21.03 s / 1144.35 tokens per second
2.34.126.844 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  24576, progress = 0.75, t =  21.51 s / 1142.63 tokens per second
2.34.652.744 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  25088, progress = 0.77, t =  22.03 s / 1138.59 tokens per second
2.35.136.447 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  25600, progress = 0.78, t =  22.52 s / 1136.87 tokens per second
2.35.659.865 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  26112, progress = 0.80, t =  23.04 s / 1133.27 tokens per second
2.36.149.102 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  26624, progress = 0.81, t =  23.53 s / 1131.46 tokens per second
2.36.675.251 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  27136, progress = 0.83, t =  24.06 s / 1128.00 tokens per second
2.37.168.004 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  27648, progress = 0.84, t =  24.55 s / 1126.21 tokens per second
2.37.708.692 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  28160, progress = 0.86, t =  25.09 s / 1122.35 tokens per second
2.38.208.874 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  28672, progress = 0.88, t =  25.59 s / 1120.42 tokens per second
2.38.751.122 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  29184, progress = 0.89, t =  26.13 s / 1116.76 tokens per second
2.39.255.550 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  29696, progress = 0.91, t =  26.64 s / 1114.84 tokens per second
2.39.805.494 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  30208, progress = 0.92, t =  27.19 s / 1111.12 tokens per second
2.40.314.367 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  30720, progress = 0.94, t =  27.70 s / 1109.19 tokens per second
2.40.867.416 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  31232, progress = 0.95, t =  28.25 s / 1105.60 tokens per second
2.41.381.490 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  31744, progress = 0.97, t =  28.76 s / 1103.64 tokens per second
2.41.937.881 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  32256, progress = 0.98, t =  29.32 s / 1100.16 tokens per second
2.42.331.553 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  32635, progress = 1.00, t =  29.71 s / 1098.34 tokens per second
2.42.471.483 I slot print_timing: id  0 | task 314 | prompt processing, n_tokens =  32763, progress = 1.00, t =  29.85 s / 1097.48 tokens per second
